Date,Close,High,Low,Open,Volume
22/06/2005,7.190149307,7.265206511,7.174491632,7.199345108,418541040
23/06/2005,7.200338364,7.327091978,7.120558719,7.157838692,561693744
24/06/2005,7.387735367,7.406374644,7.197107926,7.22991455,710137152
27/06/2005,7.557981014,7.567176813,7.303480723,7.428742581,711403884
28/06/2005,7.505789757,7.685977796,7.505789757,7.612163249,760698540
29/06/2005,7.275147438,7.564940615,7.260981039,7.518215744,731216052
30/06/2005,7.310688972,7.429489446,7.233394148,7.315411422,603172224
01/07/2005,7.238613605,7.362632353,7.188160783,7.332807805,368734896
05/07/2005,7.349459648,7.356170621,7.213262084,7.259738804,299460240
06/07/2005,7.245323181,7.396433026,7.241844329,7.388977599,319691988
07/07/2005,7.345234871,7.351696272,7.170514211,7.192385135,426457116
08/07/2005,7.362383842,7.393947815,7.308203546,7.362881092,298005696
11/07/2005,7.29080534,7.371579008,7.232896621,7.366608408,335276388
12/07/2005,7.251785755,7.316901278,7.230660232,7.291799654,234361404
13/07/2005,7.427749157,7.437193108,7.259738991,7.269928343,457058484
14/07/2005,7.478201389,7.623842896,7.457821268,7.5887996,426281292
15/07/2005,7.485657215,7.54058433,7.450613446,7.486900339,337198464
18/07/2005,7.44464922,7.503303814,7.400161024,7.456082168,248063688
19/07/2005,7.702133179,7.713317977,7.500819604,7.508275031,504351144
20/07/2005,7.75432539,7.769485815,7.500819108,7.594516528,571843584
21/07/2005,7.802541256,7.8984763,7.73469086,7.805275181,790784424
22/07/2005,7.515731335,7.685978182,7.364870112,7.614399834,934536528
25/07/2005,7.352940559,7.537851061,7.330820062,7.515482412,385965648
26/07/2005,7.358904362,7.406374158,7.259489998,7.332062839,392283324
27/07/2005,7.3797822,7.412091101,7.267194508,7.399913225,288427284
28/07/2005,7.294533253,7.391711415,7.28906493,7.391711415,236786976
29/07/2005,7.151874065,7.278130438,7.132737065,7.260733337,334197468
01/08/2005,7.247560501,7.26968005,7.160324483,7.160820785,226269504
02/08/2005,7.435950279,7.44415158,7.235381646,7.24731137,291316392
03/08/2005,7.388977528,7.449123873,7.346726006,7.406374628,236986776
04/08/2005,7.399664879,7.431227905,7.338027734,7.34548316,209250540
05/08/2005,7.26595211,7.419050483,7.24010461,7.393948383,237350412
08/08/2005,7.238613605,7.347969651,7.219724757,7.297018631,179092728
09/08/2005,7.246567249,7.274154177,7.170515073,7.256259352,230940828
10/08/2005,7.100178242,7.265455429,7.080295368,7.239856081,274884840
11/08/2005,7.059666634,7.122546903,6.974419611,7.10539748,300295404
12/08/2005,7.200586796,7.21251652,6.999770003,7.042518301,263172564
15/08/2005,7.058424473,7.276391158,7.052707525,7.20257519,326661012
16/08/2005,7.099431992,7.152619209,7.042020996,7.080294993,284083632
17/08/2005,7.085763931,7.122298032,7.058424683,7.095953756,155176668
18/08/2005,6.958761692,6.971437291,6.83474247,6.857359269,474437088
19/08/2005,6.959010124,6.995047448,6.949565226,6.983615447,221494284
22/08/2005,6.810137272,6.995545494,6.793734196,6.989828546,272247480
23/08/2005,6.948571682,6.952549204,6.812871354,6.863572805,232635132
24/08/2005,7.022883415,7.077064661,6.87077955,6.898615573,343380276
25/08/2005,7.02338171,7.058425011,6.958264761,7.022387211,174888936
26/08/2005,7.047986984,7.08377616,7.025121559,7.045500737,150061788
29/08/2005,7.16902256,7.185674733,7.014682021,7.014682021,235883880
30/08/2005,7.139696121,7.19536817,7.105149124,7.142678671,191488320
31/08/2005,7.108131409,7.170265804,7.067371636,7.163555304,201158640
01/09/2005,7.114344597,7.145412268,7.083277873,7.105894672,109574316
02/09/2005,7.16902256,7.207297506,7.119066989,7.120806888,137242620
06/09/2005,7.135719299,7.192385371,7.128014301,7.182692322,168323508
07/09/2005,7.328582287,7.344240433,7.090236447,7.10539687,299680020
08/09/2005,7.341506481,7.438186923,7.291053661,7.327588707,264267468
09/09/2005,7.433465958,7.433714109,7.370585686,7.388480036,175444380
12/09/2005,7.698156834,7.739910635,7.480936953,7.499576231,415044540
13/09/2005,7.746372223,7.842058166,7.609428784,7.679764479,411584004
14/09/2005,7.530642986,7.786137785,7.463537994,7.673053797,450580968
15/09/2005,7.521198273,7.62384334,7.404137707,7.444151605,618029352
16/09/2005,7.461053371,7.567923165,7.45285065,7.555993441,302888808
19/09/2005,7.550277233,7.605204354,7.473728286,7.480936509,230245524
